type,id,product,manufacturer,approval
RAT,239,Redtest Professional Sars-CoV-2 Antigen Rapid Test (Covid-19 Ag),Sigmed Sp. z o.o.,歐盟 EU
RAT,240,reOpenTest COVID-19 Antigen Rapid Test,"Zhejiang Anji Saianfu Biotech Co.., Ltd",歐盟 EU
RAT,241,SARS-CoV-2 Ag Rapid Test,BioMaxima SA,歐盟 EU
RAT,242,SARS-CoV-2 AgDiagnostic Test Kit (Colloidal Gold),"Shenzhen Watmind Medical Co., Ltd",歐盟 EU
RAT,243,SARS-CoV-2 AgDiagnostic Test Kit (Immuno-fluorescence),"Shenzhen Watmind Medical Co., Ltd",歐盟 EU
RAT,244,SARS-CoV-2 Antigen (Colloidal Gold),"Getein Biotech, Inc",歐盟 EU
RAT,245,SARS-CoV-2 Antigen Assay Kit (Immuno- chromatography),"Wuhan Life Origin Biotech Joint Stock Co., Ltd.",歐盟 EU
RAT,246,SARS-CoV-2 Antigen Detection Kit (Colloidal Gold Immunochromato- graphic Assay),"PerGrande Bio Tech Development Co., Ltd.",歐盟 EU
RAT,247,SARS-CoV-2 antigen IVD kit SWAB,"Shenzhen Reagent Technology Co.,Ltd.",歐盟 EU
RAT,248,SARS-CoV-2 Antigen Kit (Colloidal Gold),Goldsite Diagnostic Inc.,歐盟 EU
RAT,249,SARS-CoV-2 Antigen Rapid Detection Kit (Colloidal Gold Method),"JINAN BABIO BIOTECHNOLOGY CO., LTD., China",歐盟 EU
RAT,250,SARS-CoV2 Antigen Rapid Test,"Hangzhou Immuno Biotech Co., Ltd",歐盟 EU
RAT,251,SARS-CoV-2 Antigen Rapid Test,DNA Diagnostic,歐盟 EU
RAT,252,SARS-CoV-2 Antigen Rapid Test,Novatech,歐盟 EU
RAT,253,SARS-CoV-2 Antigen Rapid Test,"Xiamen Wiz Biotech Co., Ltd",歐盟 EU
RAT,254,SARS-CoV-2 Antigen Rapid Test (Colloidal Gold Method),"Biohit Healthcare (Hefei) Co., Ltd.",歐盟 EU
RAT,255,SARS-CoV-2 Antigen Rapid Test (Colloidal Gold),"Xiamen Wiz Biotech Co., Ltd",歐盟 EU
RAT,256,SARS-CoV-2 Antigen Rapid Test (Immunochromatograp hy),Qingdao Hightop Biotech Co. Ltd,歐盟 EU
RAT,257,SARS-CoV-2 Antigen Rapid Test Cassette,Hangzhou Sejoy Electronics & Instruments Co.Ltd,歐盟 EU
RAT,258,SARS-CoV-2 Antigen Rapid Test Cassette,"Merlin Biomedical (Xiamen) Co., Ltd.",歐盟 EU
RAT,259,SARS-CoV-2 Antigen Rapid Test Kit,"Beijing Lepu Medical Technology Co., Ltd",歐盟 EU
RAT,260,SARS-CoV-2 Antigen Rapid Test Kit,Labnovation Technologies Inc.,歐盟 EU
RAT,261,SARS-CoV-2 Antigen Rapid Test Kit,"Triplex International Biosciences(China) Co., Ltd",歐盟 EU
RAT,262,SARS-CoV-2 Antigen Rapid Test Kit,"Triplex International Biosciences Co., Ltd, China",歐盟 EU
RAT,263,SARS-CoV-2 Antigen Rapid Test Kit,"Wuhan UNscience Biotechnology Co., Ltd.",歐盟 EU
RAT,264,SARS-CoV-2 Antigen Rapid Test Kit (Colloidal Gold immunochromatograp hy),"JOYSBIO (Tianjin) Biotechnology Co., Ltd.",歐盟 EU
RAT,265,SARS-CoV-2 Antigen Rapid Test Kit (Fluorescence Immunochromato- graphy),"Biohit Healthcare (Hefei) Co., Ltd.",歐盟 EU
RAT,266,SARS-CoV-2 Antigen Test Cassette,"Jiangsu Mole Bioscience CO., LTD.",歐盟 EU
RAT,267,SARS-CoV-2 Antigen Test Kit,"Hubei Jinjian Biology Co., Ltd",歐盟 EU
RAT,268,SARS-CoV-2 Antigen Test Kit,"Shenzen Ultra-Diagnostics Biotec Co., Ltd",歐盟 EU
RAT,269,SARS-CoV-2 Antigen Test Kit (Colloidal Gold Chromatographic Immunoassay),"Shenzhen Microprofit Biotech Co., Ltd",歐盟 EU
RAT,270,SARS-CoV-2 Antigen Test Kit (colloidal gold method),"BIOTEKE CORPORATION (WUXI) CO., LTD",歐盟 EU
RAT,271,SARS-CoV-2 Antigen Test Kit (Colloidal Gold),Genrui Biotech Inc,歐盟 EU
RAT,272,SARS-CoV-2 Antigen Test Kit (Colloidal Gold),"Shenzhen Dymind Biotechnology Co., Ltd",歐盟 EU
RAT,273,SARS-CoV-2 Antigen Test Kit (Colloidal Gold),"Shenzhen Huian Biosci Technology Co., Ltd.",歐盟 EU
RAT,274,SARS-CoV-2 Antigen Test Kit (GICA),"Shenzhen Kisshealth Biotechnology Co., Ltd",歐盟 EU
RAT,275,SARS-CoV-2 Antigen Test Kit (Lateral Flow Assay),"Wuxi Biohermes Bio & Medical Technology Co., Ltd.",歐盟 EU
RAT,276,SARS-CoV-2 antigen Test Kit (LFIA),"Jiangsu Medomics medical technology Co.,Ltd.",歐盟 EU
RAT,277,SARS-CoV-2 Rapid Antigen Test,Roche (SD BIOSENSOR),歐盟 EU
RAT,278,SARS-CoV-2 Rapid Antigen Test (Colloidal Gold Method),Sansure Biotech Inc,歐盟 EU
RAT,279,SARS-CoV-2 Rapid Antigen Test Cassette,SureScreen Diagnostics,歐盟 EU
RAT,280,SARS-CoV-2 Rapid Antigen Test Nasal,Roche (SD BIOSENSOR),歐盟 EU
RAT,281,SARS-CoV-2 Spike Protein Test Kit (Colloidal Gold Chromatographic Immunoassay),"Shenzhen Microprofit Biotech Co., Ltd.",歐盟 EU
RAT,282,SARS-CoV-2 Spike Protein Test Kit (Fluorescence Immunoassay),"Shenzhen Microprofit Biotech Co., Ltd",歐盟 EU
RAT,283,SARS-CoV-2/FluA+B/RSV Antigen Rapid Test,"Qingdao Hightop Biotech Co., Ltd.",歐盟 EU
RAT,284,SARS-CoV-2-Antigen Rapid Detection Kit,"Shenzhen CAS-Envision Medical Technology Co., Ltd.",歐盟 EU
RAT,285,SARS-COV-2Nucleocapsid (N) Antigen Rapid Detection Kit (Colloidalgold method),"Nanjing Synthgene Medical Technology Co., Ltd.",歐盟 EU
RAT,286,ScheBo SARS CoV-2 Quick Antigen,ScheBo Biotech,歐盟 EU
RAT,287,ScheBo SARS CoV-2 Quick ANTIGEN (Colloidal Gold Method),ScheBo Biotech,歐盟 EU
RAT,288,SGTi-flex COVID-19 Ag,"Sugentech, Inc.",歐盟 EU
RAT,289,Sofia SARS Antigen FIA,Quidel Corporation,歐盟 EU
RAT,290,STANDARD F COVID-19 Ag FIA,SD BIOSENSOR Inc.,歐盟 EU
RAT,291,STANDARD Q COVID-19 Ag Test,SD BIOSENSOR Inc.,歐盟 EU
RAT,292,STANDARD Q COVID-19 Ag Test Nasal,SD Biosensor Inc,歐盟 EU
RAT,293,StrongStep® SARS-CoV- 2 Antigen Rapid Test,"Nanjing Liming Bio-Products Co., Ltd.",歐盟 EU
RAT,294,Test Rapid Covid-19 Antigen (tampon nazofaringian),DDS DIAGNOSTIC,歐盟 EU
RAT,295,TestNOW® - COVID-19Antigen Test,Affimedix Inc.,歐盟 EU
RAT,296,TODA CORONADIAG Ag,TODA PHARMA,歐盟 EU
RAT,297,TOYO Covid-19 Ag Tes,TÜRKLAB TIBBİ MALZEMELER SAN. ve TİC. A.Ş.,歐盟 EU
RAT,298,V-Chek SARS-CoV-2 AgRapid Test Kit (Colloidal Gold),SGA Medikal,歐盟 EU
RAT,299,V-Chek SARS-CoV-2Rapid Ag Test (colloidal gold),SGA Medikal,歐盟 EU
RAT,300,Verino Pro SARS CoV 2 Ag Rapid Test,"VivaChek Biotech (Hangzhou) Co., Ltd, China",歐盟 EU
RAT,301,Virusee® SARS-CoV-2 Antigen Rapid Test (Colloidal Gold),"Genobio Pharmaceutical Co., Ltd.",歐盟 EU
RAT,302,Wantai SARS-CoV-2 Ag Rapid Test (colloidal gold),"Beijing Wantai Biological Pharmacy Enterprise Co., Ltd",歐盟 EU
RAT,303,Wondfo 2019-nCoV Antigen Test (Lateral Flow Method),"Guangzhou Wondfo Biotech Co., Ltd",歐盟 EU
RAT,304,Zhenrui ®COVID-19 Antigen Test Cassette,"Shenzhen Zhenrui Biotech Co., Ltd",歐盟 EU
RAT,305,AESKU.RAPID SARS-CoV-2,AESKU.Diagnostics,衛生署 DOH
RAT,306,COVID-19 Antigen Test Cassette (Nasopharyngeal Swab),Hangzhou AllTest Biotech (FIATest),衛生署 DOH
RAT,307,Panbio™ COVID-19 Ag Rapid Test,Abbott Rapid Diagnostics,衛生署 DOH
RAT,308,SARS-CoV-2 Antigen Rapid Test (Nasal Swab),Hangzhou AllTest Biotech (ALLTest),衛生署 DOH
RAT,309,SARS-CoV-2 Antigen Self Test Nasal,SD Biosensor (Roche),衛生署 DOH
RAT,310,SARS-CoV-2 Rapid Antigen Test Nasal,SD Biosensor (Roche),衛生署 DOH
RAT,311,SARS-CoV-2 Virus Antigen Detection Kit (colloidal gold method),BGI,衛生署 DOH
